record_id,state,operator_size_band,operator_group,care_context,cta_category,visible_journey_category,manual_or_delayed_signal,automation_signal,reviewed_date
QF-001,CA,independent_or_small,OP-001,IL_AL_MC,tour_visit,form_staff_arranged,yes,no,2026-07-12
QF-002,PA,independent_or_small,OP-002,personal_care_IL_respite,tour_visit,form_staff_arranged,yes,no,2026-07-12
QF-003,PA,independent_or_small,OP-003,IL_AL_MC,information_request,form_staff_arranged,yes,no,2026-07-12
QF-004,PA,independent_or_small,OP-003,IL_AL_MC,information_request,form_staff_arranged,yes,no,2026-07-12
QF-005,PA,independent_or_small,OP-003,IL_AL_MC,information_request,form_staff_arranged,yes,no,2026-07-12
QF-006,FL,independent_or_small,OP-004,AL_MC,tour_visit,manual_tour_form,yes,no,2026-07-12
QF-007,FL,independent_or_small,OP-005,AL_MC,general_contact,no_immediate_scheduling,yes,no,2026-07-12
QF-008,CA,independent_or_small,OP-006,AL_MC,tour_visit,manual_tour_form,yes,no,2026-07-12
QF-009,CA,independent_or_small,OP-007,AL_MC,tour_visit,manual_visit_form,yes,no,2026-07-12
QF-010,CA,independent_or_small,OP-008,AL_MC,general_contact,public_contact_route,unknown,no,2026-07-12
QF-011,TX,independent_or_small,OP-009,AL_memory_support,tour_visit,automated_inquiry_journey,no,yes,2026-07-12
QF-012,NC,independent_or_small,OP-010,life_plan_AL,general_contact,priority_list_no_direct_admission,no,no,2026-07-12
QF-013,NC,independent_or_small,OP-011,AL_memory_support,general_contact,partner_outreach_waitlist,no,no,2026-07-12
QF-014,NC,independent_or_small,OP-012,assisted_care_MC,tour_visit,manual_visit_form,yes,no,2026-07-12
QF-015,NC,independent_or_small,OP-013,AL_MC,tour_visit,manual_scheduling,yes,no,2026-07-12
QF-016,OR,independent_or_small,OP-014,AL_MC,general_contact,manual_contact_form,yes,no,2026-07-12
QF-017,OR,independent_or_small,OP-015,AL_MC,general_contact,future_resident_program,no,no,2026-07-12
QF-018,CA,independent_or_small,OP-016,AL_MC,tour_visit,manual_visit_form,yes,no,2026-07-12
QF-019,CA,independent_or_small,OP-017,AL_MC,tour_visit,staff_arranged_tour,yes,no,2026-07-12
QF-020,FL,independent_or_small,OP-018,AL_memory_support,general_contact,manual_contact_workflow,yes,no,2026-07-12
QF-021,CA,independent_or_small,OP-019,IL_AL_MC,tour_visit,form_staff_arranged,yes,no,2026-07-13
QF-022,TX,independent_or_small,OP-020,IL_AL,tour_visit,form_not_accepting_responses,yes,no,2026-07-13
QF-023,OH,independent_or_small,OP-021,IL_AL_memory_support,tour_visit,form_staff_arranged,yes,no,2026-07-13
QF-024,NJ,independent_or_small,OP-022,IL_AL_MC,tour_visit,general_form_staff_arranged,yes,no,2026-07-13
QF-025,SC,independent_or_small,OP-023,IL_AL_memory_support,general_contact,form_staff_arranged,yes,no,2026-07-13
QF-026,WA,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-027,MI,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-028,WA,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-029,LA,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-030,WA,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-031,OH,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-032,FL,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-033,MI,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-034,AZ,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-035,WA,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-036,AZ,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-037,CO,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-038,NC,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-039,NC,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-040,NC,large_multi_location,OP-024,AL_MC_IL,schedule_a_visit,tour_request_not_automatically_reserved,yes,no,2026-07-14
QF-041,AZ,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,yes,2026-07-14
QF-042,AZ,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-043,AZ,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-044,AZ,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-045,CA,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-046,CA,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-047,CA,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-048,CA,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-049,CO,large_multi_location,OP-025,AL,contact_or_info,form_or_staff_arranged,unknown,no,2026-07-14
QF-050,CO,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-051,CO,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-052,CO,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-053,CT,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-054,CT,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-055,CT,large_multi_location,OP-025,AL_MC_IL,book_a_tour,preferred_date_time_request,yes,no,2026-07-14
QF-056,NJ,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_automated_inquiry_assistant,no,yes,2026-07-14
QF-057,MA,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-058,CT,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-059,NY,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-060,NH,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-061,CT,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-062,MA,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-063,MA,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-064,MA,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-065,CT,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
QF-066,MA,large_multi_location,OP-026,AL_MC_IL,book_a_tour,embedded_assistant_plus_staff_followup,yes,yes,2026-07-14
